Date,yyyy-mm-dd,FCH4 Value,AVG FCH4,Standardized FCH4 AVG
4/21/2015,,20.666,,
4/21/2015,,21.975,,
4/21/2015,,17.649,,
4/21/2015,,18.037,,
4/21/2015,,22.032,,
4/21/2015,,21.605,,
4/21/2015,,21.784,,
4/21/2015,,21.896,,
4/21/2015,,18.425,,
4/22/2015,,19.096,,
4/22/2015,,21.468,,
4/22/2015,,19.551,,
4/22/2015,,20.107,,
4/22/2015,,20.576,,
4/22/2015,,22.128,,
4/22/2015,,20.221,,
4/22/2015,,21.895,,
4/22/2015,,19.451,,
4/22/2015,,23.794,,
4/22/2015,,18.419,,
4/22/2015,,21.033,,
4/22/2015,,22.196,,
4/22/2015,,17.35,,
4/22/2015,,23.986,,
4/22/2015,,17.951,,
4/22/2015,,18.32,,
4/22/2015,,21.801,,
4/22/2015,,21.899,,
4/22/2015,,19.5,,
4/22/2015,,19.541,,
4/22/2015,,18.659,,
4/22/2015,,20.359,,
4/22/2015,,23.052,,
4/22/2015,,22.415,,
4/22/2015,,22.361,,
4/22/2015,,22.841,,
4/22/2015,,22.917,,
4/22/2015,,23.213,,
4/22/2015,,21.359,,
4/22/2015,,22.647,,
4/22/2015,,19.088,,
4/22/2015,,20.922,,
4/22/2015,,18.206,,
4/22/2015,,16.137,,
4/22/2015,,14.234,,
4/22/2015,,20.205,,
4/22/2015,,19.667,,
4/22/2015,,29.992,,
4/22/2015,,9.859,,
4/22/2015,,20.151,,
4/22/2015,,13.887,,
4/22/2015,,16.776,,
4/22/2015,,12.543,,
4/22/2015,,17.225,,
4/23/2015,,25.856,,
4/23/2015,,20.159,,
4/23/2015,,17.443,,
4/23/2015,,12.608,,
4/23/2015,,13.01,,
4/23/2015,,20.756,,
4/23/2015,,21.439,,
4/23/2015,,12.03,,
4/23/2015,,17.084,,
4/23/2015,,21.94,,
4/23/2015,,21.934,,
4/23/2015,,27.785,,
4/23/2015,,22.479,,
4/23/2015,,18.645,,
4/23/2015,,19.604,,
4/23/2015,,24.751,,
4/23/2015,,24.912,,
4/23/2015,,18.643,,
4/23/2015,,27.51,,
4/23/2015,,26.787,,
4/23/2015,,28.019,,
4/23/2015,,27.115,,
4/23/2015,,22.236,,
4/23/2015,,28.329,,
4/23/2015,,19.152,,
4/23/2015,,24.301,,
4/23/2015,,8.417,,
4/24/2015,,13.157,,
4/24/2015,,13.81,,
4/24/2015,,15.714,,
4/24/2015,,17.857,,
4/24/2015,,17.085,,
4/24/2015,,13.197,,
4/24/2015,,16.004,,
4/24/2015,,11.135,,
4/25/2015,,10.745,,
4/25/2015,,16.726,,
4/25/2015,,13.718,,
4/25/2015,,12.052,,
4/25/2015,,13.707,,
4/25/2015,,11.017,,
4/25/2015,,11.925,,
4/25/2015,,13.868,,
4/25/2015,,13.728,,
4/25/2015,,19.836,,
4/25/2015,,13.013,,
4/25/2015,,13.523,,
4/25/2015,,17.217,,
4/25/2015,,12.34,,
4/25/2015,,16.466,,
4/25/2015,,22.4,,
4/25/2015,,30.001,,
4/25/2015,,35.519,,
4/25/2015,,28.727,,
4/25/2015,,20.946,,
4/25/2015,,30.097,,
4/25/2015,,19.074,,
4/25/2015,,18.658,,
4/25/2015,,14.083,,
4/25/2015,,14.156,,
4/26/2015,,10.302,,
4/26/2015,,18.362,,
4/26/2015,,25.706,,
4/26/2015,,18.247,,
4/26/2015,,21.794,,
4/26/2015,,16.255,,
4/26/2015,,26.797,,
4/26/2015,,22.094,,
4/26/2015,,19.054,,
4/26/2015,,25.746,,
