Date-Month,Year,South Precipitation Mean,North Precipitation Mean,Cumulative Precipitation Mean
2011-02,2011,0.03,0.03,0.03
2011-03,2011,0.04,0.03,0.035
2011-04,2011,0.36,0.35,0.355
2011-05,2011,0.19,0.21,0.2
2011-06,2011,0.46,0.63,0.545
2011-07,2011,0.34,0.24,0.29
2011-08,2011,0.42,0.38,0.4
2011-09,2011,0.11,0.1,0.105
2011-10,2011,0.23,0.2,0.215
2011-11,2011,0.08,0.08,0.08
2011-12,2011,0.03,0.03,0.03
2012-01,2012,0.11,0.08,0.095
2012-02,2012,0.13,0.11,0.12
2012-03,2012,0.18,0.19,0.185
2012-04,2012,0.38,0.41,0.395
2012-05,2012,0.46,0.46,0.46
2012-06,2012,0.33,0.34,0.335
2012-07,2012,0.32,0.32,0.32
2012-08,2012,0.15,0.15,0.15
2012-09,2012,0.05,0.05,0.05
2012-10,2012,0.24,0.18,0.21
2012-11,2012,0.21,0.18,0.195
2012-12,2012,0.1,0.1,0.1
2013-01,2013,0.19,0.18,0.185
2013-02,2013,0.14,0.13,0.135
2013-03,2013,0.21,0.18,0.195
2013-04,2013,0.36,0.29,0.325
2013-05,2013,0.23,0.23,0.23
2013-06,2013,0.29,0.31,0.3
2013-07,2013,0.34,0.29,0.315
2013-08,2013,0.19,0.2,0.195
2013-09,2013,0.11,0.12,0.115
2013-10,2013,0.29,0.27,0.28
2013-11,2013,0.09,0.08,0.085
2013-12,2013,0.18,0.18,0.18
2014-01,2014,0.08,0.09,0.085
2014-02,2014,0.16,0.15,0.155
2014-03,2014,0.12,0.12,0.12
2014-04,2014,0.3,0.22,0.26
2014-05,2014,0.37,0.34,0.355
2014-06,2014,0.74,0.72,0.73
2014-07,2014,0.27,0.26,0.265
2014-08,2014,0.26,0.32,0.29
2014-09,2014,0.16,0.18,0.17
2014-10,2014,0.13,0.13,0.13
2014-11,2014,0.06,0.05,0.055
2014-12,2014,0.06,0.06,0.06
2015-01,2015,0.06,0.06,0.06
2015-02,2015,0.06,0.06,0.06
2015-03,2015,0.09,0.09,0.09
2015-04,2015,0.09,0.08,0.085
2015-05,2015,0.51,0.5,0.505
2015-06,2015,0.32,0.28,0.3
2015-07,2015,0.38,0.27,0.325
2015-08,2015,0.75,0.28,0.515
2015-09,2015,0.61,0.46,0.535
2015-10,2015,0.25,0.23,0.24
2015-11,2015,0.31,0.31,0.31
2015-12,2015,0.19,0.2,0.195
2016-01,2016,0.09,0.09,0.09
2016-02,2016,0.11,0.1,0.105
2016-03,2016,0.24,0.24,0.24
2016-04,2016,0.2,0.22,0.21
2016-05,2016,0.16,0.14,0.15
2016-06,2016,0.34,0.29,0.315
2016-07,2016,0.46,0.36,0.41
2016-08,2016,0.43,0.39,0.41
2016-09,2016,0.37,0.4,0.385
2016-10,2016,0.1,0.08,0.09
2016-11,2016,0.27,0.33,0.3
2016-12,2016,0.2,0.19,0.195
2017-01,2017,0.14,0.14,0.14
2017-02,2017,0.14,0.14,0.14
2017-03,2017,0.1,0.09,0.095
2017-04,2017,0.24,0.23,0.235
2017-05,2017,0.18,0.17,0.175
2017-06,2017,0.35,0.35,0.35
2017-07,2017,0.16,0.21,0.185
2017-08,2017,0.31,0.32,0.315
2017-09,2017,0.34,0.42,0.38
2017-10,2017,0.22,0.22,0.22
2017-11,2017,0.11,0.12,0.115
